name,affiliation,keyword1,keyword2,keyword3
Stefanie Merkli,Eawag (Aquatic Ecology),Plankton,Monitoring,
marta reyes,EAWAG,plankton,monitoring,core sediments
Aurélie Boissezon,HES-SO / HEPIA,macrophytes,,
Christoph Walcher,eawag,fieldwork on / in waters,Scientific Diving,
Nathalie Menetrey,"Direction de l'environnement, Protection des eaux VD",macroinvertébrés,limnologie,chimie
Cindy De Jonge,ETH Zurich,Paleolimnology,Microbial,
Fabio Lepori,DGE Canton Vaud,Eutrophication,Zooplankton,Ecological status assessment
Camilla Capelli,SUPSI,phytoplankton ecology,HABs,water quality
Nathalie Dubois,Eawag,Paleolimnology,sediment,limnogeology
Maurizio Pozzoni,University of Applied Sciences and Arts of Southern Switzerland,Water temperature,Nutrient loads from tributaries,
Thomas Posch,"University of Zurich, Limnological Station",Microbial food webs,Cyanobacteria,Protists
Kristy Deiner,SimplexDNA AG,ecology,environmental DNA,conservation
Natacha Tofield-Pasche,EPFL,Biogeochemistry,Nutrients cycling,Sedimentation
Yves BELLOUARD,EPFL,Biochip,Optical vision system,
Jérôme CHAPPELLAZ,EPFL,Greenhouse gases,,
Silvana Kaeser,Eawag,phytoplankton,invasive species,taxonomy
Christel Hassler,EPFL-ENAC-IIE_SENSE,trace elements,biogeochemistry,phytoplankton
Pierre Rossi,EPFL GR-CEL ,Quagga mussels,Bacterial communities,
Yiruo Xia,University of Geneva,phytoplankton,cyanobacteria,Harmful cyanobacterial blooms
Antonia Klatt,University of Basel,lipid biomarkers,lipid hydrogen isotopes,phytoplankton communities
Marco Baity Jesi,Eawag,Plankton classification,Plankton Forecasting,Complexity
Barbara Känel,AWEL Kanton Zürich,Quality assesment of lakes,Plankton,Macrophytes
Pius Niederhauser,AWEL Gewässerschutz,Monitoring,Seesanierung,seeinterne Sanierungsanlagen
Elise Folly,Service de l'environnement Fribourg,chimie,physique,biologie
Catherine Folly,Amt für Umwelt Freiburg,chemistry,physics,biology
Willy  Tinner,University of Bern,Sediments,Water plants (autecology and communities),Subfossils (micro and macro)
Yasmin Ghadyani,Eawag,Remote sensing,,
François Mettra,HES-SO Valais Wallis - IEE - STREAM,Gravity current,Sediment input / resuspension,Nearshore hydrodynamics
Thilo Herold,FOEN,"Coordination, specialized expertise",,
Lukas De Ventura,"Kanton Aargau, Abteilung für Umwelt","Monitoring (physicochemical, plankton, benthos, fish larvae)",Lake Restoration management,Invasive species management
Marion Jaussi,CREALP et Service de l'environnement (VS),Monitoring plan,small lakes' importance,minimum data requirements
Philip Werner,UniL,Biogeochemistry,Element cycling,Mineral formation
Claudia Frey,University of Basel,aquatic Nitrogen cycling ,water colum and sediment biogeochemistry,stable isotope applications
Louise Noel du Payrat,ETHZ ,,,
Rachele  Longhitano,Repubblica e Cantone Ticino,sensor installation,sensor calibration and maintenance,data analysis
Matteo Tonellotto,Repubblica e Cantone Ticino - Ufficio del monitoraggio ambientale,,,
Paul Magyar,Empa,greenhouse gases,biogeochemical cycling,stable isotopes
Timon Langenegger,Kissling + Zbinden AG,Methane,Sediments,Noble gases
